venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
2,戸田,1,1,6.85,36.27,5.43,6.85
2,戸田,1,2,6.91,37.43,5.33,7.14
2,戸田,1,3,6.89,36.99,5.45,7.09
2,戸田,1,4,6.78,37.29,5.53,7.07
2,戸田,1,5,6.85,37.02,5.62,6.97
2,戸田,1,6,6.9,37.1,5.43,7.05
2,戸田,2,1,6.98,38.05,5.98,7.01
2,戸田,2,2,6.78,37.79,5.75,7.07
2,戸田,2,3,6.83,37.78,5.69,7.07
2,戸田,2,4,7.05,38.22,6.11,7.37
2,戸田,2,5,6.81,37.8,6.41,7.12
2,戸田,2,6,6.98,37.77,6.13,7.31
2,戸田,3,1,6.88,37.07,5.53,7.12
2,戸田,3,2,6.78,37.71,5.63,7.05
2,戸田,3,3,7.01,37.8,5.9,7.17
2,戸田,3,4,6.84,37.46,6.03,7.07
2,戸田,3,5,6.81,37.23,6.13,6.93
2,戸田,3,6,6.82,37.44,6.56,6.9
2,戸田,4,1,6.78,36.88,5.59,6.98
2,戸田,4,2,6.76,36.84,6.03,6.91
2,戸田,4,3,6.9,39.14,5.83,7.19
2,戸田,4,4,6.89,36.7,6.27,6.89
2,戸田,4,5,6.83,36.89,5.83,6.95
2,戸田,4,6,6.91,37.21,5.62,7.25
2,戸田,5,1,6.8,36.66,5.61,6.93
2,戸田,5,2,6.81,37.3,5.32,7.1
2,戸田,5,3,6.9,37.15,5.13,7.07
2,戸田,5,4,6.77,36.96,5.17,7.01
2,戸田,5,5,6.92,37.24,5.24,7.05
2,戸田,5,6,6.91,37.82,5.56,7.1
2,戸田,6,1,6.92,37.03,5.3,7.06
2,戸田,6,2,6.76,37.14,5.28,7.0
2,戸田,6,3,6.83,37.27,5.55,7.03
2,戸田,6,4,6.86,37.23,5.47,7.1
2,戸田,6,5,6.95,38.42,5.66,7.11
2,戸田,6,6,6.9,37.31,5.46,7.11
2,戸田,7,1,6.82,36.92,5.27,6.97
2,戸田,7,2,6.96,37.61,5.59,7.06
2,戸田,7,3,6.94,38.16,5.45,7.16
2,戸田,7,4,6.83,37.76,5.57,7.09
2,戸田,7,5,6.89,37.81,5.86,7.14
2,戸田,7,6,6.79,37.38,5.76,7.0
2,戸田,8,1,6.69,36.99,5.44,6.98
2,戸田,8,2,6.76,37.12,5.58,7.06
2,戸田,8,3,6.77,37.55,5.48,6.98
2,戸田,8,4,6.73,37.33,5.7,6.96
2,戸田,8,5,6.86,36.93,5.53,7.03
2,戸田,8,6,6.66,37.1,5.6,7.02
2,戸田,9,1,6.77,37.49,5.63,6.9
2,戸田,9,2,6.76,37.09,5.43,7.07
2,戸田,9,3,6.8,37.44,5.63,7.06
