venue_no,venue_name,race_no,number,exhibition,one_lap,turning,straight
10,三国,1,1,6.72,36.72,5.43,6.68
10,三国,1,2,6.66,36.77,5.4,6.65
10,三国,1,3,6.6,37.33,5.58,6.68
10,三国,1,4,6.73,36.93,5.38,6.7
10,三国,1,5,6.78,37.77,5.68,6.72
10,三国,1,6,6.71,37.08,5.62,6.67
10,三国,2,1,6.61,36.7,5.42,6.68
10,三国,2,2,6.76,37.48,5.75,6.8
10,三国,2,3,6.79,37.9,5.73,6.87
10,三国,2,4,6.69,37.25,5.6,6.75
10,三国,2,5,6.74,37.75,5.82,6.67
10,三国,2,6,6.78,37.63,5.72,6.73
21,芦屋,1,1,6.78,36.23,7.64,7.65
21,芦屋,1,2,6.75,36.52,7.79,7.67
21,芦屋,1,3,6.75,36.78,7.85,7.67
21,芦屋,1,4,6.79,37.36,7.83,7.69
21,芦屋,1,5,6.74,37.09,7.86,7.64
21,芦屋,1,6,6.75,37.33,7.98,7.63
21,芦屋,2,1,6.78,36.84,7.81,7.73
21,芦屋,2,2,6.73,37.13,7.93,7.74
21,芦屋,2,3,6.81,37.56,8.09,7.78
21,芦屋,2,4,6.76,37.37,8.04,7.67
21,芦屋,2,5,6.73,37.19,8.0,7.74
21,芦屋,2,6,6.7,36.79,7.89,7.66
10,三国,3,1,6.69,37.1,5.5,6.73
10,三国,3,2,6.78,38.08,5.72,6.77
10,三国,3,3,6.75,37.77,5.65,6.73
10,三国,3,4,6.72,37.77,5.68,6.77
10,三国,3,5,6.81,37.88,5.47,6.87
10,三国,3,6,6.78,37.73,5.77,6.75
21,芦屋,3,1,6.74,36.34,7.6,7.69
21,芦屋,3,2,6.79,37.04,7.8,7.74
21,芦屋,3,3,6.8,37.12,7.7,7.76
21,芦屋,3,4,6.8,37.06,7.92,7.71
21,芦屋,3,5,6.8,37.24,8.1,7.69
21,芦屋,3,6,6.88,37.87,8.13,7.85
10,三国,4,1,6.75,37.52,6.13,6.62
10,三国,4,2,6.71,37.37,5.67,6.70
10,三国,4,3,6.76,38.07,5.73,6.85
10,三国,4,4,6.74,39.15,5.95,6.83
10,三国,4,5,6.59,38.28,5.87,6.73
10,三国,4,6,6.73,37.60,5.63,6.83
10,三国,5,1,6.73,37.47,5.78,6.65
10,三国,5,2,6.76,37.97,5.80,6.75
10,三国,5,3,6.65,37.98,5.85,6.73
10,三国,5,4,6.64,38.93,5.85,6.77
10,三国,5,5,6.71,38.12,5.90,6.70
10,三国,5,6,6.74,38.95,6.17,6.77
21,芦屋,4,1,6.75,36.22,7.64,7.64
21,芦屋,4,2,6.73,36.58,7.74,7.60
21,芦屋,4,3,6.68,37.37,8.09,7.71
21,芦屋,4,4,6.86,36.50,7.59,7.72
21,芦屋,4,5,6.79,36.90,7.72,7.66
21,芦屋,4,6,6.76,36.94,7.89,7.64
